Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,month,week_of_year,year,quarter,sales_lag_1,sales_lag_4,sales_lag_8,sales_lag_12,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8,rolling_mean_12,rolling_std_12
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2,5,2010,1,,,,,,,,,,
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2,6,2010,1,1643690.9,,,,,,,,,
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2,7,2010,1,1641957.44,,,,,,,,,
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2,8,2010,1,1611968.17,,,,,,,,,
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,3,9,2010,1,1409727.59,1643690.9,,,1576836.025,112353.41511397276,,,,
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,3,10,2010,1,1554806.68,1641957.44,,,1554614.9699999997,103135.00254832554,,,,
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,3,11,2010,1,1439541.59,1611968.17,,,1504011.0075,95360.05083899511,,,,
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,3,12,2010,1,1472515.79,1409727.59,,,1469147.9125,62599.4571500743,,,,
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,4,13,2010,2,1404429.92,1554806.68,1643690.9,,1467823.495,64308.38101632066,1522329.76,102848.0409315057,,
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,4,14,2010,2,1594968.28,1439541.59,1641957.44,,1477863.895,82871.76229599727,1516239.4324999999,95838.50123841035,,
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,4,15,2010,2,1545418.53,1472515.79,1611968.17,,1504333.13,83458.04335445474,1504172.06875,82960.02515456246,,
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,4,16,2010,2,1466058.28,1404429.92,1409727.59,,1502718.7525,84336.49103572944,1485933.3325,71061.35162532078,,
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,4,17,2010,2,1391256.12,1594968.28,1554806.68,1643690.9,1499425.3025,89550.29826614384,1483624.3987500002,74125.20280870455,1514694.9408333332,95107.9652298527
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,5,18,2010,2,1425100.71,1545418.53,1439541.59,1641957.44,1456958.41,66432.18202288529,1467411.1525,70424.1942894919,1496479.0916666668,88885.08328619238
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,5,19,2010,2,1603955.12,1466058.28,1472515.79,1611968.17,1471592.5575,93391.49007121939,1487962.84375,83841.2926138136,1493312.2316666667,83759.90424156883
