Date,actual,predicted
2012-04-27,43716798.89,44226772.0
2012-05-04,47124197.93,47884030.0
2012-05-11,46925878.99,46535588.0
2012-05-18,46823939.22,45448264.0
2012-05-25,47892463.31,47292332.0
2012-06-01,48281649.72,50276976.0
2012-06-08,49651171.78,48465710.0
2012-06-15,48412110.7,48530536.0
2012-06-22,47668284.97,47905590.0
2012-06-29,46597112.12,48211916.0
2012-07-06,51253021.88,48267460.0
2012-07-13,46099732.1,47763820.0
2012-07-20,46059543.45,46092696.0
2012-07-27,44097154.97,45227620.0
2012-08-03,47485899.56,48016290.0
2012-08-10,47403451.04,46880344.0
2012-08-17,47354452.05,47244424.0
2012-08-24,47447323.6,46949010.0
2012-08-31,47159639.43,48122172.0
2012-09-07,48330059.31,48360332.0
2012-09-14,44226038.65,45247430.0
2012-09-21,44354547.11,43597816.0
2012-09-28,43734899.4,43769652.0
2012-10-05,47566639.31,47855350.0
2012-10-12,46128514.25,46091750.0
2012-10-19,45122410.57,46581108.0
2012-10-26,45544116.29,46622136.0
