Store,forecasted_demand,safety_stock,recommended_stock
1,3108424,466264,3574688
2,3684911,552737,4237648
3,890049,133507,1023556
4,4405982,660897,5066879
5,717468,107620,825088
6,2963292,444494,3407786
7,1103871,165581,1269452
8,1818365,272755,2091120
9,1130947,169642,1300589
10,3567727,535159,4102886
11,2662996,399449,3062445
12,1880721,282108,2162829
13,4176630,626494,4803124
14,3281647,492247,3773894
15,1144338,171651,1315989
16,1052196,157829,1210025
17,1920486,288073,2208559
18,2129072,319361,2448433
19,2839549,425932,3265481
20,4140366,621055,4761421
21,1341856,201278,1543134
22,2027115,304067,2331182
23,2955114,443267,3398381
24,2702399,405360,3107759
25,1429278,214392,1643670
26,2074265,311140,2385405
27,3303302,495495,3798797
28,2406638,360996,2767634
29,1077500,161625,1239125
30,880372,132056,1012428
31,2763028,414454,3177482
32,2429392,364409,2793801
33,513571,77036,590607
34,1920271,288041,2208312
35,1736497,260475,1996972
36,610107,91516,701623
37,1088195,163229,1251424
38,845136,126770,971906
39,3133558,470034,3603592
40,1976777,296517,2273294
41,2757318,413598,3170916
42,1124980,168747,1293727
43,1246900,187035,1433935
44,703103,105465,808568
45,1537536,230630,1768166
